I,Common Name,Constellation,RA [deg],Dec [deg],U App Mag,B App Mag,V App Mag,J App Mag,H App Mag,K App Mag,U-B,B-V,J-H,H-K,Prop M. RA [mas/yr],Prop M. Dec [mas/yr],Radial Velocity [km/s],RV Err [km/s],Dist [pc],Dist Err [pc],Spec Type,Mass [solar],Mass Err [solar],Rad [solar],Rad Err [solar],Lum [solar],Lum Err [solar],Temp [K],Temp Err [K],LaTeX
Eta Cephei,,Cepheus,311.3223981,61.83878243,4.96,4.32,3.41,1.82,1.504,1.24,0.64,0.91,0.316,0.264,86.5,818.02,-87.407,0.0002,14.26533524,0.022384977,K0IV,1.6,,4.12,0.07,9.7,0.5,4950,,$\eta$
Alpha Cephei,Alderamin,Cepheus,319.6448847,62.58557447,2.77,2.68,2.46,2.15,2.134,2.07,0.09,0.22,0.016,0.064,150.55,49.09,-15.8,1.1,15.03759398,0.024874216,A8V,2,0.15,2.823,0.097,17,,7700,170,$\alpha$
Mu Cephei,Erakis,Cepheus,325.8769211,58.78004449,8.85,6.43,4.08,-0.52,-1.27,-1.72,2.42,2.35,0.75,0.45,5.36,-3.51,23,0.58,1818.181818,661.1570248,M2Ia,19.2,0.1,972,228,304500,106773.124,3551,136,$\mu$
Epsilon Cephei,,Cepheus,333.7592145,57.04356555,4.543,4.47,4.193,3.83,3.667,3.54,0.073,0.277,0.163,0.127,415.734,53.391,-4.7,0.8,26.29662062,0.181867723,F0V,1.64,,1.86,,11.65,,7514,255,$\epsilon$
Zeta Cephei,,Cepheus,332.7136538,58.20126266,6.62,4.9,3.35,0.97,0.36,0.11,1.72,1.55,0.61,0.25,13.52,5.24,-17.83,0.12,256.4102564,6.574621959,K1.5Ib,,,94,,2238.5,14.8492424,4072,170,$\zeta$
Delta Cephei,,Cepheus,337.2927709,58.41519829,4.71,4.35,3.75,2.75,2.47,2.35,0.36,0.6,0.28,0.12,15.35,3.52,-24,0.2,265.2519894,11.25737886,F5Iab,4.5,0.3,44.5,,2000,,6150,919.2388155,$\delta$
Iota Cephei,,Cepheus,342.4200706,66.20040656,5.5,4.6,3.54,1.82,1.45,1.19,0.9,1.06,0.37,0.26,-65.89,-125.17,-12.763,0.0008,35.34817957,0.12494938,K0III,2.15,0.23,11.08,0.16,57,0.6,4768,33,$\iota$
Gamma Cephei A,Errai,Cepheus,354.8370897,77.63236263,5.19,4.25,3.22,1.66,1.19,1.038,0.94,1.03,0.47,0.152,-62.997,171.457,-43.668,0.0002,13.54450114,0.068354778,K1III,1.41,0.08,4.93,0.04,11.6,0.6,4792,62,$\gamma$
Beta Cephei A,Alfirk,Cepheus,322.1649869,70.56071519,2.05,3.01,3.23,3.78,3.75,3.96,-0.96,-0.22,0.03,-0.21,12.54,8.39,-8.2,2,210.0840336,13.24059035,B0.5III,15.85,5.161879503,5.6,,15100,,27000,,$\beta$
Alpha Ceti,Menkar,Cetus,45.56988779,4.089738778,6.1,4.17,2.53,-0.62,-1.41,-1.67,1.93,1.64,0.79,0.26,-10.41,-76.85,-26.08,0.02,76.39419404,2.567872069,M1.5III,2.3,0.2,89,5,1455,328,3795,70,$\alpha$
Lambda Ceti,,Cetus,44.92874946,8.907358298,4.13,4.58,4.7,4.91,4.893,4.91,-0.45,-0.12,0.017,-0.017,6.01,-17.7,10.2,2,176.6784452,7.491665522,B6III,5.01,0.05,5.4,,652,,13940,710,$\lambda$
Mu Ceti,,Cetus,41.23558743,10.11414136,,4.58,,3.658,3.439,3.463,,,0.219,-0.024,282.7,-32.53,30.4,0.9,25.77319588,0.21256244,A9III,1.6,,1.7,,7.5,,7141,,$\mu$
