I,Common Name,Constellation,RA [deg],Dec [deg],U App Mag,B App Mag,V App Mag,J App Mag,H App Mag,K App Mag,U-B,B-V,J-H,H-K,Prop M. RA [mas/yr],Prop M. Dec [mas/yr],Radial Velocity [km/s],RV Err [km/s],Dist [pc],Dist Err [pc],Spec Type,Mass [solar],Mass Err [solar],Rad [solar],Rad Err [solar],Lum [solar],Lum Err [solar],Temp [K],Temp Err [K],LaTeX
Delta Velorum Aa,Alesephina,Vela,131.1759441,-54.70881925,2.07,2,1.95,1.777,1.762,1.719,0.07,0.05,0.015,0.043,28.99,-103.35,2.2,1.78,24.69745616,0.237886093,A2IV,2.43,,2.88,0.127279221,67,,9440,,$\delta$
Phi Velorum,,Vela,149.2155903,-54.56778862,2.81,3.35,3.45,3.72,3.72,3.72,-0.54,-0.1,0,0,-13.08,3.55,13.9,0.7,487.804878,26.1748959,B5Ib,10.1,,31,,28200,,14600,,$\phi$
Mu Velorum A,,Vela,161.6924115,-49.42025678,4.16,3.59,2.69,1.16,0.72,0.61,0.57,0.9,0.44,0.11,63.22,-54.21,6.2,0.2,35.91954023,0.490281081,G6III,3.3,,13,,107,,5047,,$\mu$
q Velorum,,Vela,153.6839822,-42.12194258,3.98,3.9,3.85,3.78,3.75,3.74,0.08,0.05,0.03,0.01,-150.09,49.44,7.4,2,31.07520199,0.144850227,A2V,2.17,,2.11,,23.24,,9451,321,q
Psi Velorum A,,Vela,142.6748233,-40.46683083,3.89,3.96,3.6,2.98,2.7,2.76,-0.07,0.36,0.28,-0.06,-147.98,61.35,8.8,1.8,18.81467545,0.130977045,F3V,1.44,,,,,,7122,242,$\psi$
Lambda Velorum,Suhail,Vela,136.9989911,-43.43259092,5.67,3.86,2.21,-0.56,-1.31,-1.55,1.81,1.65,0.75,0.24,-24.01,13.52,17.6,0.3,166.9449082,3.06576626,K4Ib,7,1,210,,7900,,3900,100,$\lambda$
Kappa Velorum A,Markeb,Vela,140.5284067,-55.01066713,1.5,2.324,2.473,2.862,2.929,3.029,-0.824,-0.149,-0.067,-0.1,-11.4,11.52,21.9,0.9,175.4385965,9.233610342,B2IV,,,6.9,,,,,,$\kappa$
Alpha Virginis A,Spica,Virgo,201.2982474,-11.16131947,-0.2,0.74,0.97,1.5,1.54,1.64,-0.94,-0.23,-0.04,-0.1,-42.35,-30.67,1,0.9,76.56967841,4.104040956,B1V,11.43,1.15,7.4,0.54,21004.5,6395.780836,25300,500,$\alpha$
Theta Virginis Aa,,Virgo,197.4874348,-5.539018258,4.385,4.385,4.397,4.531,4.556,4.391,0,-0.012,-0.025,0.165,-30.82,-29.688,-3.353,0.0004,83.20090523,5.126030262,A1IV,3.11,0.11,,190,,9250,,,$\theta$
Gamma Virginis A,Porrima,Virgo,190.415181,-1.449372806,3.07,3.1,2.74,2.09,1.93,1.88,-0.03,0.36,0.16,0.05,-614.76,61.34,-20.42,0.4,11.68497312,0.081923158,F1V,1.56,,,,,,6757,,$\gamma$
Eta Virginis Aa,Zaniah,Virgo,184.9764537,-0.666833214,3.99,3.92,3.9,3.78,3.76,3.76,0.07,0.02,0.02,0,-60.586,-9.298,5.24,0.19,78.78916807,2.741955668,A2IV,2.5039,0.1246,,,,,9333,,$\eta$
Beta Virginis,Zavijava,Virgo,177.673826,1.764719728,4.26,4.15,3.6,2.63,2.363,2.33,0.11,0.55,0.267,0.033,740.23,-270.43,4.455,0.0005,10.92896175,0.026277285,F9V,1.413,0.061,1.81,0.008,3.572,0.052,6132,26,$\beta$
Nu Virginis,,Virgo,176.4648316,6.52937258,7.32,5.54,4.04,1.09,0.25,0.07,1.78,1.5,0.84,0.18,-18.96,-181.56,50.28,0.09,90.09009009,1.46092038,M1III,1.6,,54,,631,,4009,,$\nu$
Omicron Virginis,,Virgo,181.302252,8.732986052,5.75,5.11,4.12,2.459,1.987,1.869,0.64,0.99,0.472,0.118,-218.69,57.76,-29.578,0.0007,50.05005005,0.551101652,G8III,2.17,,9.62,,57,,5107,,$o$
Delta Virginis,Minelauva,Virgo,193.9008692,3.39747034,6.76,4.97,3.38,-0.21,-1.05,-1.24,1.79,1.59,0.84,0.19,-469.99,-52.83,-18.87,0.21,60.82725061,0.813989972,M3III,1.4,0.3,48,,468,,3999,,$\delta$
Epsilon Virginis,Vindemiatrix,Virgo,195.5441577,10.9591504,4.45,3.71,2.79,1.312,0.894,0.786,0.74,0.92,0.418,0.108,-273.8,19.96,-14.29,0.02,33.60215054,0.158074633,G8III,2.64,0.11,10.6,0.3,77,,5086,,$\epsilon$
Zeta Virginis A,Heze,Virgo,203.6733057,-0.595836018,3.58,3.5,3.38,3.17,3.05,3.07,0.08,0.12,0.12,-0.02,-278.76,49.133,-13.2,2,22.54359367,0.255529806,A2V,2.041,0.024,2.079,0.025,17.885,0.252,8247,52,$\zeta$
Iota Virginis A,Syrma,Virgo,214.0036229,-6.000545374,4.64,4.6,4.08,3.08,2.909,2.79,0.04,0.52,0.171,0.119,-26.31,-419.38,12.079,0.0007,22.23704692,0.093952389,F7III,1.5,0.05,2.5,,8.7,,6282,,$\iota$
Mu Virginis,,Virgo,220.7650951,-5.658203531,4.25,4.26,3.88,3.33,3.07,3.04,-0.01,0.38,0.26,0.03,103.28,-318.63,5.1,0.7,18.27151471,0.06676965,F2V,,,1.99,,7.474,,6751,,$\mu$
Tau Virginis,,Virgo,210.4116392,1.544531817,4.451,4.331,4.237,4.212,4.107,4.091,0.12,0.094,0.105,0.016,17.49,-21.27,-6.7,0.9,68.96551724,0.856123662,A2IV,1.96,,1.6,,70,,8413,286,$\tau$
109 Virginis,,Virgo,221.562189,1.892884582,3.69,3.72,3.73,3.7,3.628,3.67,-0.03,-0.01,0.072,-0.042,-114.03,-22.13,-6.1,2,41.2371134,0.306089914,A0III,2.58,0.02,2.7,,62.85,2.474873734,9683.5,2066.873121,109
Alpha Volantis,,Volans,135.6116497,-66.39607576,4.274,4.144,3.99,3.911,3.741,3.883,0.13,0.154,0.17,-0.142,-2,-95.51,7.6,0.6,38.29950211,0.176022223,A5V,1.87,,1.9,,,,8198,,$\alpha$
Beta Volantis,,Volans,126.4341447,-66.13689027,,4.896,3.759,1.874,1.33,1.21,,1.137,0.544,0.12,-35.74,-152.22,27.4,0.7,32.97065612,0.108706416,K2III,1.62,0.2,,,41,3,4546,,$\beta$
Epsilon Volantis,,Volans,121.9824756,-68.61706353,,4.27,4.398,4.619,4.755,4.704,,-0.128,-0.136,0.051,-29.65,29.553,9,0.3,227.1024005,12.18213317,B5III,,,,,,,,,$\epsilon$
Delta Volantis,,Volans,109.2075995,-67.95715232,5.23,4.78,3.99,2.73,2.4,2.31,0.45,0.79,0.33,0.09,-4.43,8.38,24.62,0.2,226.2443439,5.630515346,F8Ib,,,24,,1152,,5386,,$\delta$
Gamma1 Volantis,,Volans,107.1766093,-70.49711426,,6.046,5.623,,3.805,4.641,,0.423,,-0.836,5.938,112.927,4.5,0.8,43.09508931,0.593371158,F2V,1.69,,,,,,6541,,$\gamma^1$
Gamma2 Volantis,,Volans,107.1869318,-70.49892318,,4.774,3.746,1.961,1.67,1.573,,1.028,0.291,0.097,24.256,106.881,2.8,0.7,40.38821149,0.481532492,K0III,,,,,60,,4866,34,$\gamma^2$
Alpha Vulpeculae,Anser,Vulpecula,292.1763748,24.66490346,7.77,5.95,4.45,1.53,0.878,0.52,1.82,1.5,0.652,0.358,-126.13,-107.44,-85.391,0.0011,91.15770283,2.3267235,M0.5III,0.97,,43.14,,415.9,,3690,,$\alpha$
13 Vulpeculae A,,Vulpecula,298.3654009,24.07961473,4.39,4.57,4.64,4.479,,4.584,-0.18,-0.07,,,21.897,36.184,-28.1,1.6,94.79391802,2.353403778,B9.5III,,,1.3,,180,,8801,,13
