Common Name,ID1,ID2,ObjType,Constellation,RA,Dec,B,V,B-V,R1,R2,Angle,Draw?,PM RA,PM Dec,RV,RV Err,Dist,Dist Err
Crab Nebula,M1,NGC 1952,SNR,Taurus,83.633083,22.014500,,8.40,,7.000,4.833,128,No,,,,,,
,M2,NGC 7089,GC,Aquarius,323.362583,-0.823250,,6.25,,1.860,1.860,,No,3.51,-2.16,-3.72,0.34,16339.9,1041.3
,M3,NGC 5272,GC,Canes Venatici,205.548417,28.377278,,6.39,,2.240,2.240,,No,-0.14,-2.64,-147.28,0.34,40816.3,2665.6
,M4,NGC 6121,GC,Scorpius,245.896750,-26.525750,,5.40,,7.300,7.300,,No,-12.48,-18.99,71.05,0.08,2002.0,4.4
,M5,NGC 5904,GC,Serpens Caput,229.638417,2.081028,7.34,5.95,1.39,4.220,4.220,,No,4.06,-9.89,53.70,0.25,8779.6,138.7
Butterfly Cluster,M6,NGC 6405,OC,Scorpius,265.069167,-32.241944,,4.20,,20.000,20.000,,No,-1.37,-5.81,-9.47,0.52,462.4,0.4
Ptolemy Cluster,M7,NGC 6475,OC,Scorpius,268.447083,-34.841111,,3.30,,100.100,100.100,,No,3.07,-5.32,-14.70,0.20,280.1,0.1
Lagoon Nebula,M8,NGC 6523,Neb,Sagittarius,270.904167,-24.386667,,5.00,,45.000,30.000,,Yes,,,3.80,,1272.0,9.0
,M9,NGC 6333,GC,Ophiuchus,259.799083,-18.516250,9.36,8.42,0.94,8.700,8.700,,No,-2.21,-3.21,310.75,2.12,8952.6,336.6
,M10,NGC 6254,GC,Ophiuchus,254.287708,-4.100306,,4.98,,3.620,3.620,,No,-4.72,-6.54,74.02,0.31,6635.7,96.9
Wild Duck Cluster,M11,NGC 6705,OC,Scutum,282.765833,-6.271944,6.32,5.80,0.52,8.900,8.900,,No,-1.57,-4.14,35.67,0.19,2341.9,11.0
,M12,NGC 6218,GC,Ophiuchus,251.809083,-1.948528,8.52,6.07,2.45,4.320,4.320,,No,-0.15,-6.77,-41.35,0.20,6313.1,87.7
Great Globular Cluster in Hercules,M13,NGC 6205,GC,Hercules,250.423475,36.461319,,5.80,,33.000,33.000,,No,-3.18,-2.56,-244.49,0.43,12300.1,196.7
,M14,NGC 6402,GC,Ophiuchus,264.400625,-3.245917,9.55,5.73,3.82,13.500,13.500,,No,-3.66,-5.03,-60.71,0.45,16977.9,1412.4
,M15,NGC 7078,GC,Pegasus,322.493042,12.167000,,6.30,,22.200,22.200,,No,-0.63,-3.80,-106.76,0.25,19157.1,1101.0
Eagle Nebula,M16,NGC 6611,Neb,Serpens Cauda,274.687917,-13.791944,6.58,6.00,0.58,5.050,5.050,90,Yes,0.18,-1.58,10.00,1.40,1766.8,18.7
Omega Nebula,M17,NGC 6618,Neb,Sagittarius,275.195833,-16.171667,,6.00,,1.630,1.630,90,Yes,-0.04,-1.40,-44.58,0.68,1666.7,111.1
,M18,NGC 6613,OC,Sagittarius,274.989167,-17.088889,,6.90,,5.000,5.000,90,No,-0.51,-0.92,-14.00,4.50,1562.5,14.6
,M19,NGC 6273,GC,Ophiuchus,255.657042,-26.267944,8.45,5.57,2.88,9.600,9.600,,No,-3.23,1.66,145.54,0.59,10695.2,320.3
Trifid Nebula,M20,NGC 6514,Neb,Sagittarius,270.675000,-22.971667,,6.30,,28.000,28.000,90,Yes,0.41,-1.69,-5.00,3.70,1265.8,80.1
,M21,NGC 6531,OC,Sagittarius,271.035833,-22.505000,,5.90,,14.000,14.000,90,No,0.53,-1.52,-18.22,1.31,1253.1,7.9
Sagittarius Cluster,M22,NGC 6656,GC,Sagittarius,279.099750,-23.904750,7.16,6.17,0.99,6.520,6.520,,No,9.82,-5.54,-147.76,0.30,3789.3,79.0
,M23,NGC 6494,OC,Sagittarius,269.237083,-18.986944,,5.50,,35.000,35.000,,No,0.28,-1.81,-31.73,0.01,738.6,1.1
Small Sagittarius Star Cloud,M24,IC 4715,StrCld,Sagittarius,274.200000,-18.550000,,4.60,,120.000,60.000,90,Yes,,,,,,
,M25,IC 4725,OC,Sagittarius,277.937083,-19.113889,,4.60,,31.300,31.300,,No,-1.72,-6.10,3.09,1.10,664.8,0.8
,M26,NGC 6694,OC,Scutum,281.317083,-9.386111,8.00,8.87,-0.87,7.100,7.100,,No,0.14,-1.41,4.00,7.40,1908.4,10.9
Dumbbell Nebula,M27,NGC 6853,PNeb,Vulpecula,299.901513,22.721198,13.75,14.09,-0.34,0.133,0.133,90,Yes,10.50,3.68,-42.00,5.00,376.3,6.2
,M28,NGC 6626,GC,Sagittarius,276.137042,-24.869833,,6.90,,3.120,3.120,,No,-0.33,-8.92,11.11,0.60,6410.3,143.8
Cooling Tower,M29,NGC 6913,OC,Cygnus,305.942917,38.486944,7.30,6.60,0.70,12.700,12.700,,No,-3.41,-5.77,-16.90,0.60,1808.3,9.8
,M30,NGC 7099,GC,Capricornus,325.092167,-23.179861,,7.10,,2.300,2.300,,No,-0.73,-7.24,-185.19,0.17,14792.9,984.7
Andromeda Galaxy,M31,NGC 224,SpiGal,Andromeda,10.684708,41.268750,4.36,3.44,0.92,199.530,70.790,35,No,0.00,0.00,-301.00,1.00,770000.0,21298.2
,M32,NGC 221,EllGal,Andromeda,10.674271,40.865169,9.03,8.08,0.95,4.355,3.227,170,No,0.00,0.00,-213.00,2.00,780000.0,28766.4
Triangulum Galaxy,M33,NGC 598,SpiGal,Triangulum,23.462100,30.659942,6.27,5.72,0.55,35.398,20.849,23,No,0.00,0.00,-179.20,1.70,910000.0,20975.5
,M34,NGC 1039,OC,Perseus,40.530833,42.721944,,5.20,,48.400,48.400,,No,0.73,-5.73,-9.80,0.50,511.9,0.7
,M35,NGC 2168,OC,Gemini,92.272083,24.336111,,5.10,,38.300,38.300,,No,2.28,-2.93,-6.37,0.14,884.9,1.0
,M36,NGC 1960,OC,Auriga,84.084167,34.135000,6.09,6.00,0.09,10.300,10.300,0,No,-0.16,-3.39,-1.20,4.60,1197.6,5.7
,M37,NGC 2099,OC,Auriga,88.074167,32.545000,6.19,5.60,0.59,19.300,19.300,,No,1.92,-5.65,7.70,0.00,1501.5,4.5
Starfish Cluster,M38,NGC 1912,OC,Auriga,82.167083,35.823889,6.69,6.40,0.29,19.600,19.600,,No,1.58,-4.42,-0.65,0.50,1144.2,3.9
,M39,NGC 7092,OC,Cygnus,322.889167,48.246944,,4.60,,120.400,120.400,,No,-7.36,-19.60,-5.40,0.40,299.6,0.2
Winnecke-4,M40,,DblStr,Ursa Major,185.565681,58.084570,,9.10,,,,,No,,,,,,
,M41,NGC 2287,OC,Canis Major,101.499167,-20.716111,4.89,4.50,0.39,39.800,39.800,,No,-4.34,-1.38,23.52,0.24,735.3,1.1
Orion Nebula,M42,NGC 1976,Neb,Orion,83.822083,-5.391111,,4.00,,65.000,60.000,90,Yes,1.67,-0.30,27.80,5.00,412.0,6.1
De Mairan's Nebula,M43,NGC 1982,Neb,Orion,83.879167,-5.270000,,9.00,,20.000,15.000,,Yes,,,,,400.0,50.0
Beehive Cluster,M44,NGC 2632,OC,Cancer,130.054167,19.621111,,3.10,,118.200,118.200,,No,-36.05,-12.92,34.72,0.08,186.2,0.1
Pleiades,M45,,OC,Taurus,56.600833,24.113889,,1.20,,110.000,110.000,90,No,20.00,-45.55,6.57,0.17,135.8,0.1
,M46,NGC 2437,OC,Puppis,115.445000,-14.843889,,6.10,,25.300,25.300,,No,-3.82,0.37,49.04,0.28,1665.3,2.5
,M47,NGC 2422,OC,Puppis,114.147083,-14.488889,,4.40,,31.100,31.100,,No,-7.02,0.96,34.30,0.80,483.3,0.3
,M48,NGC 2548,OC,Hydra,123.412083,-5.726111,,5.80,,44.300,44.300,,No,-1.33,1.02,41.50,0.30,775.4,1.4
,M49,NGC 4472,EllGal,Virgo,187.444841,8.000476,9.37,8.41,0.96,5.117,4.160,155,No,0.00,0.00,981.00,5.00,16100000.0,890652.0
,M50,NGC 2323,OC,Monoceros,105.697917,-8.337778,,5.90,,31.600,31.600,,No,-0.80,-0.65,11.55,,998.8,1.7
Whirlpool Galaxy,M51,NGC 5194/5,SpiGal,Canes Venatici,202.469629,47.195172,8.96,8.36,0.60,5.610,3.461,163,No,0.00,0.00,460.00,2.00,7550000.0,1635858.5
,M52,NGC 7654,OC,Cassiopeia,351.195000,61.590000,,6.90,,16.000,16.000,,No,-1.94,-1.13,-40.00,5.60,1677.9,5.6
,M53,NGC 5024,GC,Coma Berenices,198.230208,18.168167,8.95,7.79,1.16,18.000,18.000,,No,-0.11,-1.35,-62.85,0.26,63694.3,11359.5
,M54,NGC 6715,GC,Sagittarius,283.763875,-30.479861,,7.70,,0.980,0.980,,No,-2.73,-1.38,143.06,0.56,37453.2,11923.3
,M55,NGC 6809,GC,Sagittarius,294.998792,-30.964750,,6.49,,5.780,5.780,,No,-3.41,-9.27,174.40,0.24,5760.4,69.7
,M56,NGC 6779,GC,Lyra,289.148208,30.183472,8.90,8.40,0.50,2.320,2.320,,No,-2.02,1.65,-136.97,0.45,13245.0,578.9
Ring Nebula,M57,NGC 6720,PNeb,Lyra,283.396237,33.029134,15.41,15.77,-0.36,1.153,1.153,90,No,1.49,2.49,-19.10,2.00,787.0,36.8
,M58,NGC 4579,SpiGal,Virgo,189.431342,11.818194,10.48,9.66,0.82,2.944,2.338,95,No,0.00,0.00,1517.00,1.00,16700000.0,1539740.0
,M59,NGC 4621,EllGal,Virgo,190.509346,11.647028,10.57,9.63,0.94,2.685,1.858,165,No,0.00,0.00,467.00,5.00,15400000.0,851928.0
,M60,NGC 4649,EllGal,Virgo,190.916563,11.552706,9.81,8.84,0.97,3.707,3.014,105,No,0.00,0.00,1110.00,5.00,17400000.0,962568.0
,M61,NGC 4303,SpiGal,Virgo,185.478729,4.473647,10.18,9.65,0.53,3.228,2.876,,No,0.00,0.00,1566.00,2.00,18700000.0,5603455.0
,M62,NGC 6266,GC,Ophiuchus,255.302500,-30.112361,8.55,7.39,1.16,2.460,2.460,,No,-4.99,-2.95,-73.49,0.70,6891.8,147.2
Sunflower Galaxy,M63,NGC 5055,SpiGal,Canes Venatici,198.955542,42.029278,9.31,8.59,0.72,6.295,3.620,105,No,0.00,0.00,500.00,1.00,9040000.0,375069.6
Black Eye Galaxy,M64,NGC 4826,SpiGal,Coma Berenices,194.181838,21.682969,9.36,8.52,0.84,5.000,2.685,115,No,0.00,0.00,409.00,1.00,5240000.0,193251.2
Leo Triplet,M65,NGC 3623,SpiGal,Leo,169.732983,13.092364,10.25,9.33,0.92,4.886,1.441,174,No,0.00,0.00,803.00,2.00,13300000.0,2759085.0
Leo Triplet,M66,NGC 3627,SpiGal,Leo,170.062350,12.991539,9.65,8.53,1.12,4.560,2.084,173,No,0.00,0.00,721.00,2.00,10700000.0,2663658.0
,M67,NGC 2682,OC,Cancer,132.845833,11.813889,,6.90,,25.000,25.000,,No,-10.97,-2.94,33.92,0.10,883.0,0.9
,M68,NGC 4590,GC,Hydra,189.866583,-26.744056,10.26,7.96,2.30,3.100,3.100,,No,-2.75,1.78,-92.99,0.22,16181.2,1178.2
,M69,NGC 6637,GC,Sagittarius,277.846250,-32.348083,9.32,8.31,1.01,4.200,4.200,,No,-5.12,-5.81,46.63,1.45,11695.9,793.4
,M70,NGC 6681,GC,Sagittarius,280.803167,-32.292111,9.76,9.06,0.70,1.860,1.860,,No,1.39,-4.72,216.62,0.84,7905.1,568.7
,M71,NGC 6838,GC,Sagitta,298.443708,18.779194,7.91,6.10,1.81,3.300,3.300,,No,-3.41,-2.61,-22.27,0.19,4372.5,42.1
,M72,NGC 6981,GC,Aquarius,313.365417,-12.537306,9.95,8.96,0.99,9.000,9.000,,No,-1.29,-3.32,-331.39,1.47,66666.7,33333.3
,M73,NGC 6994,Aster,Aquarius,314.725000,-12.633333,,8.90,,2.800,2.800,,No,,,,,770.0,
Phantom Galaxy,M74,NGC 628,SpiGal,Pisces,24.173946,15.783661,9.95,9.39,0.56,5.236,4.775,25,No,0.00,0.00,657.00,1.00,8830000.0,1384014.2
,M75,NGC 6864,GC,Sagittarius,301.520171,-21.922261,,8.26,,2.383,2.145,55,No,-0.58,-2.78,-189.08,1.12,49751.2,16583.7
Little Dumbbell Nebula,M76,NGC 650/1,PNeb,Perseus,25.581919,51.575431,,17.48,,2.307,2.307,90,No,-0.25,-4.17,-23.60,2.00,746.0,
Cetus A,M77,NGC 1068,SpiGal,Cetus,40.669629,-0.013281,9.61,8.77,0.84,3.540,3.013,70,No,0.00,0.00,1137.00,3.00,10100000.0,1815879.0
,M78,NGC 2068,Neb,Orion,86.690833,0.079167,,8.00,,8.000,6.000,,Yes,-0.93,-4.50,63.30,7.30,415.0,
,M79,NGC 1904,GC,Lepus,81.044125,-24.524250,9.21,8.16,1.05,1.600,1.600,0,No,2.47,-1.59,205.84,0.19,27027.0,2264.4
,M80,NGC 6093,GC,Scorpius,244.260042,-22.976083,,7.33,,1.300,1.300,0,No,-2.93,-5.59,10.93,0.39,19960.1,1952.2
Bode's Galaxy,M81,NGC 3031,SpiGal,Ursa Major,148.888221,69.065295,7.89,6.94,0.95,13.458,7.065,157,No,0.00,0.00,-39.00,3.00,3610000.0,99852.6
Cigar Galaxy,M82,NGC 3034,IrrGal,Ursa Major,148.969688,69.679383,9.30,8.41,0.89,5.610,2.132,65,No,0.00,0.00,269.00,2.00,3530000.0,130186.4
Southern Pinwheel Galaxy,M83,NGC 5236,SpiGal,Hydra,204.253958,-29.865417,8.20,7.54,0.66,6.441,5.739,0,No,0.00,0.00,513.00,2.00,4660000.0,150378.2
,M84,NGC 4374,EllGal,Virgo,186.265597,12.886983,10.09,9.11,0.98,3.228,2.812,135,No,0.00,0.00,1017.00,5.00,16900000.0,623272.0
,M85,NGC 4382,EllGal,Coma Berenices,186.350450,18.191486,10.00,9.11,0.89,3.540,2.747,0,No,0.00,0.00,729.00,2.00,15900000.0,879588.0
,M86,NGC 4406,EllGal,Virgo,186.548929,12.946222,9.83,8.90,0.93,4.457,2.879,130,No,0.00,0.00,-224.00,5.00,17100000.0,945972.0
Virgo A,M87,NGC 4486,EllGal,Virgo,187.705930,12.391123,9.59,8.63,0.96,4.159,3.302,0,No,0.00,0.00,1284.00,5.00,16000000.0,221280.0
,M88,NGC 4501,SpiGal,Coma Berenices,187.996504,14.420386,10.36,9.63,0.73,3.459,1.858,140,No,0.00,0.00,2284.00,1.00,20300000.0,4211235.0
,M89,NGC 4552,EllGal,Virgo,188.915864,12.556341,10.73,9.75,0.98,2.564,2.339,0,No,0.00,0.00,340.00,4.00,15900000.0,1026186.0
,M90,NGC 4569,SpiGal,Virgo,189.207471,13.162939,10.26,9.54,0.72,4.775,2.182,23,No,0.00,0.00,-235.00,4.00,9860000.0,227273.0
,M91,NGC 4548,SpiGal,Coma Berenices,188.860221,14.496339,10.96,10.15,0.81,2.685,2.132,150,No,0.00,0.00,486.00,4.00,17100000.0,630648.0
,M92,NGC 6341,GC,Hercules,259.280792,43.135944,,6.52,,2.180,2.180,0,No,,,-120.48,0.27,17793.6,474.9
,M93,NGC 2447,OC,Puppis,116.140833,-23.853056,,6.20,,24.200,24.200,0,No,-3.57,5.04,21.70,0.20,1041.3,1.4
Cat's Eye,M94,NGC 4736,SpiGal,Canes Venatici,192.721088,41.120458,8.99,8.24,0.75,5.610,4.561,105,No,0.00,0.00,308.00,1.00,4590000.0,169279.2
,M95,NGC 3351,SpiGal,Leo,160.990417,11.703806,10.53,9.73,0.80,3.707,2.506,13,No,0.00,0.00,779.00,1.00,9290000.0,1713076.0
,M96,NGC 3368,SpiGal,Leo,161.690583,11.819967,10.11,9.25,0.86,3.793,2.624,5,No,0.00,0.00,888.00,1.00,10500000.0,387240.0
Owl Nebula,M97,NGC 3587,PNeb,Ursa Major,168.698802,55.019024,15.41,15.78,-0.36,3.333,3.333,90,No,-0.04,1.05,0.00,3.00,879.4,51.2
,M98,NGC 4192,SpiGal,Coma Berenices,183.451188,14.900333,10.95,10.14,0.81,4.886,1.378,155,No,0.00,0.00,-142.00,4.00,17600000.0,3651120.0
,M99,NGC 4254,SpiGal,Coma Berenices,184.706683,14.416508,10.44,9.87,0.57,2.685,2.339,0,No,0.00,0.00,2406.00,1.00,13900000.0,1281580.0
,M100,NGC 4321,SpiGal,Coma Berenices,185.728463,15.821817,10.05,9.35,0.70,3.707,3.154,30,No,0.00,0.00,1571.00,1.00,13900000.0,384474.0
Pinwheel Galaxy,M101,NGC 5457,SpiGal,Ursa Major,210.802267,54.348950,8.31,7.86,0.45,14.420,13.454,0,No,0.00,0.00,241.00,2.00,6950000.0,192237.0
Spindle Galaxy,M102,NGC 5866,EllGal,Draco,226.622912,55.763213,10.74,9.89,0.85,2.338,0.975,128,No,0.00,0.00,755.00,5.00,14700000.0,948738.0
,M103,NGC 581,OC,Cassiopeia,23.339167,60.658889,7.72,7.40,0.32,7.400,7.400,0,No,-1.38,-0.50,-45.70,2.40,2681.0,21.6
Sombrero Galaxy,M104,NGC 4594,SpiGal,Virgo,189.997633,-11.623054,8.98,8.00,0.98,4.355,1.773,90,No,0.00,0.00,1024.00,5.00,9950000.0,2155866.5
,M105,NGC 3379,EllGal,Leo,161.956617,12.581625,10.24,9.28,0.96,2.685,2.392,0,No,0.00,0.00,911.00,2.00,11200000.0,361424.0
,M106,NGC 4258,SpiGal,Canes Venatici,184.739603,47.303973,9.10,8.41,0.69,9.311,3.622,150,No,0.00,0.00,448.00,3.00,6820000.0,1068966.8
,M107,NGC 6171,GC,Ophiuchus,240.666083,-13.053778,9.96,8.85,1.11,5.400,5.400,0,No,-1.93,-5.98,-34.68,0.19,6706.9,170.9
,M108,NGC 3556,SpiGal,Ursa Major,167.879042,55.674111,10.69,10.03,0.66,4.355,1.119,80,No,0.00,0.00,696.00,1.00,9040000.0,1875348.0
,M109,NGC 3992,SpiGal,Ursa Major,179.399917,53.374528,10.60,9.83,0.77,3.793,2.340,68,No,0.00,0.00,1048.00,1.00,25400000.0,5269230.0
,M110,NGC 205,EllGal,Andromeda,10.092000,41.685306,8.92,8.07,0.85,10.939,5.481,170,No,0.00,0.00,-241.00,3.00,810000.0,29872.8
Bow-Tie Nebula,NGC 40,C2,PNeb,Cepheus,3.254238,72.521954,11.63,11.46,0.17,0.607,0.607,90,No,-7.25,-1.81,-20.50,3.40,1983.7,113.7
Whale Galaxy,NGC 55,PGC 1014,SpiGal,Sculptor,3.723333,-39.196639,8.42,7.87,0.55,16.180,2.815,108,No,0.00,0.00,131.00,2.00,1990000.0,55043.4
47 Tucanae,NGC 104,C106,GC,Tucana,6.022329,-72.081444,5.78,4.09,1.69,43.800,43.800,0,No,5.25,-2.53,-17.21,0.18,5125.6,13.1
,NGC 129,Cr 2,OC,Cassiopeia,7.607083,60.213056,7.33,6.50,0.83,20.300,20.300,0,No,-2.61,-1.10,-35.67,0.09,1956.9,7.7
,NGC 136,Cr 4,OC,Cassiopeia,7.895833,61.506111,,11.50,,3.200,3.200,0,No,-1.65,-0.52,-52.13,0.06,5524.9,183.1
,NGC 157,PGC 2081,SpiGal,Cetus,8.694833,-8.396444,11.00,10.41,0.59,2.084,1.346,30,No,0.00,0.00,1649.00,1.00,12100000.0,1115620.0
,NGC 185,C18,EllGal,Cassiopeia,9.741542,48.337389,10.10,9.18,0.92,5.874,4.999,35,No,0.00,0.00,-202.00,3.00,630000.0,20330.1
,NGC 225,Cr 7,OC,Cassiopeia,10.805000,61.773889,7.43,7.00,0.43,25.900,25.900,0,No,-5.37,-0.09,-28.00,0.00,698.3,2.4
Skull Nebula,NGC 246,C56,PNeb,Cetus,11.763925,-11.871938,11.52,11.76,-0.24,3.733,3.733,90,No,-16.96,-9.00,-15.70,,512.3,26.4
Claw Galaxy,NGC 247,C62,SpiGal,Cetus,11.785625,-20.760389,9.67,9.11,0.56,10.690,3.464,174,No,0.00,0.00,156.00,2.00,3520000.0,97363.2
Sculptor Galaxy,NGC 253,C65,SpiGal,Sculptor,11.888000,-25.288219,8.04,7.30,0.74,13.771,3.374,52,No,0.00,0.00,242.00,1.00,3560000.0,131292.8
,NGC 278,UGC 528,SpiGal,Cassiopeia,13.017958,47.550500,11.47,10.83,0.64,1.045,0.998,0,No,0.00,0.00,627.00,1.00,11800000.0,2175920.0
Pacman Nebula,NGC 281,Sh2-184,Neb,Cassiopeia,13.104583,56.565000,,7.40,,35.000,,0,Yes,,,-33.70,,3100.0,130.0
,NGC 288,Mel 3,GC,Sculptor,13.188500,-26.582611,10.00,8.13,1.87,19.200,19.200,0,No,4.22,-5.65,-44.83,0.13,7225.4,172.3
Small Magellanic Cloud,NGC 292,PGC 3085,SpiGal,Tucana,13.183333,-72.828333,2.70,2.25,0.45,158.114,93.129,45,Yes,0.00,0.00,158.00,4.00,60000.0,2212.8
,NGC 362,C104,GC,Tucana,15.809417,-70.848778,,6.58,,1.620,1.620,0,No,1.00,-16.00,223.26,0.28,12674.3,305.2
,NGC 381,Cr 10,OC,Cassiopeia,17.082917,61.583889,,9.30,,11.200,11.200,0,No,1.60,-2.26,-22.40,6.00,1180.6,5.6
Mirach's Ghost,NGC 404,UGC 718,EllGal,Andromeda,17.362588,35.718131,11.21,10.27,0.94,1.733,1.733,0,No,0.00,0.00,-49.00,9.00,3000000.0,96810.0
,NGC 436,Cr 11,OC,Cassiopeia,19.000833,58.820000,8.01,8.80,-0.79,5.400,5.400,0,No,-0.99,-0.58,-74.40,0.30,3816.8,58.3
Owl Cluster,NGC 457,Cr 12,OC,Cassiopeia,19.887083,58.278056,6.97,6.40,0.57,15.000,15.000,0,No,-1.59,-0.66,-11.57,0.44,3144.7,19.8
,NGC 488,UGC 907,SpiGal,Pisces,20.445208,5.256722,11.15,10.28,0.87,2.624,1.945,15,No,0.00,0.00,2272.00,1.00,29300000.0,5402920.0
,NGC 524,UGC 968,SpiGal,Pisces,21.198833,9.538833,11.30,10.25,1.05,1.378,1.378,0,No,0.00,0.00,2403.00,5.00,24000000.0,1548960.0
,NGC 559,C8,OC,Cassiopeia,22.387083,63.301111,9.85,9.50,0.35,9.700,9.700,0,No,-4.26,0.25,-77.25,0.27,3076.9,28.4
,NGC 584,IC 1712,EllGal,Cetus,22.836458,-6.868056,11.44,10.48,0.96,2.084,1.146,55,No,0.00,0.00,1802.00,3.00,20000000.0,1290800.0
,NGC 596,PGC 5766,EllGal,Cetus,23.217000,-7.031833,11.84,10.94,0.90,1.618,1.045,30,No,0.00,0.00,1903.00,6.00,21700000.0,1400518.0
,NGC 613,PGC 5849,SpiGal,Sculptor,23.575708,-29.418361,10.73,10.05,0.68,2.748,2.085,120,No,0.00,0.00,1481.00,5.00,26400000.0,4868160.0
,NGC 615,PGC 5897,SpiGal,Cetus,23.773667,-7.340306,12.47,11.61,0.86,1.815,0.722,155,No,0.00,0.00,1838.00,3.00,29500000.0,6119775.0
,NGC 637,Cr 17,OC,Cassiopeia,25.775000,64.038056,8.56,8.20,0.36,3.600,3.600,0,No,-1.20,0.03,-45.80,3.90,2958.6,35.0
,NGC 654,Cr 18,OC,Cassiopeia,26.007917,61.883056,7.34,6.50,0.84,6.400,6.400,0,No,-1.09,-0.27,-38.79,,3194.9,30.6
,NGC 659,Cr 19,OC,Cassiopeia,26.107917,60.678889,8.40,7.90,0.50,7.700,7.700,0,No,-0.80,-0.26,,,3484.3,48.6
,NGC 663,C10,OC,Cassiopeia,26.585833,61.211944,7.78,7.10,0.68,18.000,18.000,0,No,-1.11,-0.24,-32.30,1.20,3125.0,19.5
,NGC 720,PGC 6983,EllGal,Cetus,28.252075,-13.738653,11.16,10.17,0.99,2.338,1.200,140,No,0.00,0.00,1745.00,7.00,30700000.0,8633147.0
,NGC 752,C28,OC,Andromeda,29.222917,37.793889,,5.70,,58.200,58.200,0,No,9.81,-11.76,4.70,0.10,448.4,0.5
,NGC 772,PGC 7525,SpiGal,Aries,29.831583,19.007528,11.09,10.31,0.78,3.623,2.134,130,No,0.00,0.00,2472.00,3.00,35300000.0,2440995.0
,NGC 779,PGC 7544,SpiGal,Cetus,29.926167,-5.963194,11.95,11.16,0.79,1.991,0.587,160,No,0.00,0.00,1391.00,4.00,21200000.0,4202476.0
h Persei,NGC 869,C14,OC,Perseus,34.740833,57.133889,,5.30,,16.300,16.300,0,No,-0.69,-1.08,-38.90,1.90,2536.8,9.0
Chi Persei,NGC 884,C14,OC,Perseus,35.584167,57.148889,,6.10,,15.000,15.000,0,No,-0.60,-1.06,-44.69,0.73,2515.1,7.6
Silver Sliver Galaxy,NGC 891,UGC 1813,SpiGal,Andromeda,35.639208,42.349139,10.81,9.93,0.88,6.745,1.255,22,No,0.00,0.00,528.00,3.00,9120000.0,336345.6
,NGC 908,UGCA 27,SpiGal,Cetus,35.769042,-21.233861,10.83,10.18,0.65,3.013,1.317,75,No,0.00,0.00,1505.00,3.00,18500000.0,3837825.0
Darth Vader's Galaxy,NGC 936,UGC 1929,EllGal,Cetus,36.906083,-1.156278,11.12,10.15,0.97,2.338,2.037,135,No,0.00,0.00,1434.00,4.00,28100000.0,1554492.0
,NGC 1022,PGC 10010,SpiGal,Cetus,39.636271,-6.677428,12.09,11.34,0.75,1.199,0.998,115,No,0.00,0.00,1453.00,6.00,18500000.0,6822800.0
,NGC 1023,UGC 2154,EllGal,Perseus,40.100042,39.063286,10.35,9.35,1.00,4.355,1.476,87,No,0.00,0.00,636.00,3.00,10400000.0,671216.0
,NGC 1027,Cr 30,OC,Cassiopeia,40.677083,61.616111,7.28,6.70,0.58,26.400,26.400,0,No,-1.75,2.09,15.00,3.80,1133.8,3.9
,NGC 1052,PGC 10175,EllGal,Cetus,40.269994,-8.255764,11.41,10.47,0.94,1.510,1.045,120,No,0.00,0.00,1488.00,5.00,19200000.0,1239168.0
,NGC 1055,UGC 2173,SpiGal,Cetus,40.438458,0.443167,11.40,10.59,0.81,3.793,1.346,105,No,0.00,0.00,996.00,1.00,16100000.0,3191503.0
,NGC 1084,PGC 10464,SpiGal,Eridanus,41.499617,-7.578467,11.31,10.73,0.58,1.618,0.910,35,No,0.00,0.00,1411.00,1.00,18700000.0,775863.0
,NGC 1232,PGC 11819,SpiGal,Eridanus,47.439625,-20.579306,10.52,9.89,0.63,3.707,3.229,108,No,0.00,0.00,1603.00,1.00,14500000.0,2673800.0
,NGC 1245,Mel 18,OC,Perseus,48.690833,47.235000,9.16,8.40,0.76,13.100,13.100,0,No,0.50,-1.58,-29.38,0.09,3460.2,23.9
,NGC 1342,Cr 40,OC,Perseus,52.894167,37.380000,7.35,6.70,0.65,34.700,34.700,0,No,0.52,-1.60,-10.90,0.10,665.8,1.3
,NGC 1407,PGC 13505,EllGal,Eridanus,55.049417,-18.580111,10.70,9.67,1.03,2.286,2.133,35,No,0.00,0.00,1779.00,9.00,28200000.0,1560024.0
,NGC 1444,Cr 43,OC,Perseus,57.360833,52.658056,7.04,6.60,0.44,6.700,6.700,0,No,-0.75,-1.83,-36.90,0.48,1201.9,13.0
,NGC 1491,Sh2-206,Neb,Perseus,60.816250,51.315000,,8.50,,4.800,4.800,90,Yes,,,,,3020.0,600.0
Oyster Nebula,NGC 1501,PK 144+6.1,PNeb,Camelopardalis,61.747467,60.920633,15.17,13.00,2.17,0.863,0.863,90,No,2.20,-5.20,36.90,2.00,1762.7,78.6
,NGC 1502,Cr 45,OC,Camelopardalis,61.954167,62.331944,7.47,6.90,0.57,9.700,9.700,0,No,-0.57,-0.85,-16.30,4.40,1091.7,6.0
,NGC 1513,Cr 46,OC,Perseus,62.470000,49.503889,8.71,8.40,0.31,12.700,12.700,0,No,1.32,-3.68,-14.73,0.47,1536.1,7.1
,NGC 1514,PK 165-15.1,PNeb,Taurus,62.320774,30.775964,10.01,9.48,0.53,1.673,1.673,90,No,-6.39,3.80,59.80,,466.3,8.4
